dataset,category,policy,guarded,detector,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
SEA,0,confirmed,True,hddm_w,1.3897487562975597,1.639949279847789,,0.40160642570281296
SEA,0,confirmed,True,hellinger,1.0599263240072394,1.2263937814943282,,3.212851405622493
SEA,0,immediate,False,adwin,1.2927767413714302,1.5479371032468252,,0.0
SEA,0,immediate,False,d3_oof,1.8153800787990966,2.1547296616535205,,0.0
SEA,0,immediate,False,hddm_w,2.205708454490496,2.6016693497113406,,0.0
SEA,0,immediate,False,hellinger,1.012154380281712,1.234333520250049,,0.0
SEA,0,immediate,True,adwin,1.4073454004424242,1.6325538728528304,,20.61579651941098
SEA,0,immediate,True,d3_oof,1.5997824858269614,1.874033654578285,,16.06425702811245
SEA,0,immediate,True,hddm_w,1.1504791911312224,1.3642963596892062,,2.0080321285140594
SEA,0,immediate,True,hellinger,1.5045993615366182,1.7375616774161848,,25.702811244979923
SEA,1,confirmed,False,adwin,2.094273522173843,2.4452660882549493,0.0,0.0
SEA,1,confirmed,False,d3_oof,0.7099849988697763,0.8456548877495954,0.0,0.0
SEA,1,confirmed,False,hddm_w,2.0873771253998585,2.4526804644730746,0.0,0.0
SEA,1,confirmed,False,hellinger,2.1011198993288294,2.462219956265551,0.0,0.0
SEA,1,confirmed,True,adwin,2.2027396856628765,2.6088043878932745,-2.023902260254388,2.16282453113651
SEA,1,confirmed,True,d3_oof,1.3786685104711704,1.6364995266582156,-1.9318778014436486,2.0215385195574367
SEA,1,confirmed,True,hddm_w,2.3253657789183944,2.7248716195861444,-10.081913034944327,10.347968221593694
SEA,1,confirmed,True,hellinger,1.199784757567331,1.3872472339910698,-1.8555289428756503,1.8774390841128668
SEA,1,immediate,False,adwin,2.1117061332299105,2.4604238196929327,0.0,0.0
SEA,1,immediate,False,d3_oof,1.1521690726029783,1.3463387853201076,0.0,0.0
SEA,1,immediate,False,hddm_w,0.8689249506477944,1.068720219165764,0.0,0.0
SEA,1,immediate,False,hellinger,0.9252144257616779,1.1374724319294465,0.0,0.0
SEA,1,immediate,True,adwin,1.4927986921333052,1.7076237943801977,-4.767609710101499,4.828397474151758
SEA,1,immediate,True,d3_oof,1.8285700083935152,2.1407862694443094,-13.219085208285442,13.25899797775908
SEA,1,immediate,True,hddm_w,2.1081229281426195,2.4475032950046196,-27.26420183562581,27.474767738733743
SEA,1,immediate,True,hellinger,2.263695633213762,2.61539172610931,-32.320433930595335,32.56727657241732
SEA,2,confirmed,False,adwin,1.4046310133218665,1.685634903939711,0.0,0.0
SEA,2,confirmed,False,d3_oof,0.0,0.0,0.0,0.0
SEA,2,confirmed,False,hddm_w,2.118807271868332,2.511104993665514,0.0,0.0
SEA,2,confirmed,False,hellinger,1.8535091315629248,2.2119401338760265,0.0,0.0
SEA,2,confirmed,True,adwin,1.3204596516951606,1.5820986405508144,-7.299674630369654,7.383925623935833
SEA,2,confirmed,True,d3_oof,0.0,0.0,0.0,0.0
SEA,2,confirmed,True,hddm_w,1.7559566672093243,2.114613420713992,-14.18807589628143,14.190765921171376
SEA,2,confirmed,True,hellinger,0.47355765684111706,0.5658877799857817,-4.870699506240432,4.980767788840255
SEA,2,immediate,False,adwin,1.9050415964447307,2.2784387067589154,0.0,0.0
SEA,2,immediate,False,d3_oof,1.6610001106131016,2.035084641883396,0.0,0.0
SEA,2,immediate,False,hddm_w,0.7675257056331172,1.0179416999985813,0.0,0.0
SEA,2,immediate,False,hellinger,0.5716098352038457,0.7871557033898672,0.0,0.0
SEA,2,immediate,True,adwin,1.9455363326613941,2.3273751571130172,-6.264149916568781,6.30107846543007
SEA,2,immediate,True,d3_oof,1.0914963353175804,1.3150875826652753,-5.143468969744314,5.06810807171247
SEA,2,immediate,True,hddm_w,1.813337500177666,2.1761632102579864,-39.63938443982977,39.799118508795395
SEA,2,immediate,True,hellinger,1.4632490597163466,1.7585034251878071,-27.997844398089015,27.97210416143852
