dataset,detector,policy,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
RADAR,hellinger,immediate,seconds_per_100k,33.09491473960476,21.85567686362491,50.2772065567468,7,7
RADAR,none,none,accuracy,-0.7561365790562816,-4.739714652349954,0.9410101688328713,7,4
RADAR,none,none,clean_withhold_rate,8.443739416981959,7.4418199819394415,10.076633577273347,7,7
RADAR,none,none,macro_f1,-2.0431443656981902,-7.5374037852081415,2.742490280390747,7,1
RADAR,none,none,macro_recall,-1.507452664911925,-6.06070204263655,3.6039983025249853,7,3
RADAR,none,none,poison_admission_rate,-9.131011504212333,-10.53473585932595,-7.797957291750339,6,0
RADAR,none,none,resets_per_100k,0.0,0.0,0.0,7,0
RADAR,none,none,roc_auc,0.00580217955868509,-0.018536632280831283,0.04309165865048992,7,3
RADAR,none,none,seconds_per_100k,148.14159164122557,106.93428653353816,177.23145234104038,7,7
RBF,adwin,confirmed,accuracy,2.6667012961733434,-1.501667140829758,5.396516558526218,7,6
RBF,adwin,confirmed,clean_withhold_rate,24.624190914917357,21.13121551717451,29.404271672164754,7,7
RBF,adwin,confirmed,macro_f1,2.7296893905736472,-1.3830100820150346,5.383650680382605,7,6
RBF,adwin,confirmed,macro_recall,2.8189843959851397,-1.3757215775548375,5.471861238653701,7,6
RBF,adwin,confirmed,poison_admission_rate,-37.94766755890061,-52.51173523772419,-21.26439896362637,6,0
RBF,adwin,confirmed,resets_per_100k,-1.942857142857143,-3.466666666666667,-0.26666666666666666,7,0
RBF,adwin,confirmed,roc_auc,0.016094592181556427,-0.01248517536830566,0.02659259346800587,7,6
RBF,adwin,confirmed,seconds_per_100k,8.554566026674141,6.524663533363494,12.038956520023442,7,7
RBF,adwin,immediate,accuracy,4.84671559575014,1.2133888456976494,9.342066301896212,7,7
RBF,adwin,immediate,clean_withhold_rate,35.63580911958166,27.851682270705997,42.83165354593836,7,7
RBF,adwin,immediate,macro_f1,5.101437655891854,1.332558668303896,9.695634397865545,7,7
RBF,adwin,immediate,macro_recall,5.077692788978816,1.2956405922599463,9.829149660346852,7,7
RBF,adwin,immediate,poison_admission_rate,-58.415336025608845,-80.1803826976542,-27.805487547303105,6,0
RBF,adwin,immediate,resets_per_100k,-12.342857142857143,-20.400000000000002,-4.8,7,0
RBF,adwin,immediate,roc_auc,0.03172313456058099,0.0068200648798367736,0.05939999815966853,7,7
RBF,adwin,immediate,seconds_per_100k,3.919052213341707,1.9300489732995605,8.15312128001824,7,7
RBF,d3_oof,confirmed,accuracy,-0.5818039470035314,-2.0308996857488917,1.6347150217003872,7,2
RBF,d3_oof,confirmed,clean_withhold_rate,23.923283681933892,22.489959839357425,26.568984443459858,7,7
RBF,d3_oof,confirmed,macro_f1,-0.5070683648273915,-1.94702980133921,1.8101815478413865,7,2
